Use GPU: 0 for training
=> creating model 'resnet50'
Use GPU: 2 for training
=> creating model 'resnet50'
Use GPU: 3 for training
=> creating model 'resnet50'
Use GPU: 1 for training
=> creating model 'resnet50'
Epoch: [0][ 300/5005]	Time  0.332 ( 0.416)	Data  0.000 ( 0.107)	Loss 6.9016e+00 (7.0266e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.00 (  0.55)
Epoch: [0][ 310/5005]	Time  0.372 ( 0.416)	Data  0.000 ( 0.104)	Loss 6.9040e+00 (7.0228e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.00 (  0.54)
Epoch: [0][ 320/5005]	Time  0.358 ( 0.414)	Data  0.000 ( 0.100)	Loss 6.9133e+00 (7.0193e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.00 (  0.54)
Epoch: [0][ 330/5005]	Time  0.357 ( 0.413)	Data  0.058 ( 0.099)	Loss 6.8878e+00 (7.0154e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.00 (  0.56)
Epoch: [0][ 340/5005]	Time  0.343 ( 0.413)	Data  0.000 ( 0.098)	Loss 6.9020e+00 (7.0123e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.00 (  0.56)
Epoch: [0][ 350/5005]	Time  0.366 ( 0.413)	Data  0.000 ( 0.096)	Loss 6.9195e+00 (7.0090e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.00 (  0.57)
Epoch: [0][ 360/5005]	Time  0.385 ( 0.412)	Data  0.000 ( 0.093)	Loss 6.9096e+00 (7.0059e+00)	Acc@1   1.56 (  0.13)	Acc@5   1.56 (  0.56)
Epoch: [0][ 370/5005]	Time  0.338 ( 0.412)	Data  0.000 ( 0.091)	Loss 6.8780e+00 (7.0029e+00)	Acc@1   0.00 (  0.13)	Acc@5   1.56 (  0.58)
Epoch: [0][ 380/5005]	Time  0.388 ( 0.412)	Data  0.000 ( 0.089)	Loss 6.8847e+00 (7.0002e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.00 (  0.58)
Epoch: [0][ 390/5005]	Time  0.452 ( 0.412)	Data  0.000 ( 0.087)	Loss 6.9153e+00 (6.9974e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.00 (  0.59)
Epoch: [0][ 400/5005]	Time  0.437 ( 0.412)	Data  0.000 ( 0.085)	Loss 6.8837e+00 (6.9944e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.00 (  0.59)
Epoch: [0][ 410/5005]	Time  0.337 ( 0.411)	Data  0.050 ( 0.085)	Loss 6.8642e+00 (6.9909e+00)	Acc@1   0.00 (  0.15)	Acc@5   0.00 (  0.61)
Epoch: [0][ 420/5005]	Time  0.381 ( 0.410)	Data  0.129 ( 0.085)	Loss 6.8240e+00 (6.9877e+00)	Acc@1   1.56 (  0.15)	Acc@5   1.56 (  0.63)
Epoch: [0][ 430/5005]	Time  0.402 ( 0.409)	Data  0.162 ( 0.084)	Loss 6.8776e+00 (6.9846e+00)	Acc@1   0.00 (  0.16)	Acc@5   0.00 (  0.64)
Epoch: [0][ 440/5005]	Time  0.335 ( 0.410)	Data  0.000 ( 0.085)	Loss 6.8614e+00 (6.9818e+00)	Acc@1   0.00 (  0.15)	Acc@5   0.00 (  0.65)
Epoch: [0][ 450/5005]	Time  0.357 ( 0.409)	Data  0.000 ( 0.083)	Loss 6.8707e+00 (6.9787e+00)	Acc@1   0.00 (  0.15)	Acc@5   0.00 (  0.66)
